cons_pct,threatF4,bldg_dens,threatF1,avg_parcsz,threatF2,pop_chg,threatF3,threat,ThreatF5,F1raw,F1rcl,F2raw,F2rcl,F3raw,F3rcl,F4raw,F4rcl,F5raw,F5rcl,F6raw,F6rcl,F7raw,F7rcl,F8raw,F8rcl,F9raw,F9rcl,F10raw,F10rcl,F11raw,F11rcl,Fwght,Fwghtrcl,threatrcl,OBJECTID,ACRES,Shapearea,Shapelen
0,1,4.23810005,10,35.60260009,9,10.61240005,4,6.8,10,122.09200286,3,0.31345946,4,0,0,0,0,51.74789414,1,0,10,4.17775454,10,36.01962999,10,0,0,15.58695311,9,0,0,3.45,4,7,1,51.7478946,209417.13729132,3935.14427992063
0,1,6.0714302,8,31.94109916,8,0.14168499,10,6,3,81.27079772,4,0.18919473,3,0,0,0,0,31.23347785,1,0.70488467,3,0,0,11.96152415,8,0,0,6.2456061,7,0,0,2.1,2,6,2,31.2334754,126397.89613772,1695.13166882483
43.78882937,9,3,10,31.94109916,8,0.14168499,10,9.4,10,12.0927,10,0.00234817,1,0,0,0,0,44.79841156,1,0,10,0.0352691,2,10.56608891,8,0,0,10.56608891,8,0,0,3.65,4,10,3,44.79841494,181293.4783922,1999.07104307942
0,1,2,10,35.60260009,9,10.61240005,4,6.8,10,116.11399841,3,0.26848006,3,0,0,0,0,45.0759359,1,0,10,0,0,47.35276055,10,3,9,0,0,0,0,2.85,3,7,4,45.07593152,182416.55263983,2161.32038298119
0,1,3.5,10,38.64619827,9,12.14579963,4,6.8,10,190.14700317,2,0.49613229,4,0,0,0,0,81.90469433,1,0,10,1.98584466,9,10.60549712,8,0,0,3.98824515,6,0,0,3,3,7,5,81.90468699,331457.83442118,3738.85705799471
0,1,2.52856993,10,38.64619827,9,12.14579963,4,5.2,2,213.74299621,2,0.92750172,5,0,0,0,0,153.11791952,2,0.9082673,2,0,0,0,0,0,0,0,0,0,0,1.3,1,5,6,153.11790312,619648.64823204,6576.76404842035
0,1,2,10,81.79329681,10,2.13630008,9,8,10,14.55809974,9,0.00382425,1,0,0,0,0,72.95889121,1,0,10,0,0,0.06929929,2,0,0,0.06929929,2,0,0,2.8,3,8,7,72.95889071,295255.3364734,3461.30431246808
4.11339114,3,3.6333301,10,31.94109916,8,0.14168499,10,7.2,5,13.45750045,10,0.01805836,1,0,0,0,0,344.51622731,3,0.3655909,5,0,0,5.44726155,7,0,0,8.52673914,8,2,2,3.4,4,7,8,344.51623553,1394213.3172623,10156.9644884175
39.42655689,8,3.72958993,10,31.94109916,8,0.14168499,10,9.2,10,109.38300323,3,0.22205775,3,0,0,0,0,384.49413776,3,0,10,0.05542347,3,3.9763415,6,0,0,0,0,0,0,2.65,3,10,9,384.49410809,1555998.67470904,7736.20904700172
8.42723298,4,21.39999961,3,24.50589942,6,5.81794977,7,6,10,115.59999847,3,0.12791246,2,0,0,0,0,21.47561367,1,0,10,0,0,0,0,0,0,29.35422519,10,0,0,2.3,2,6,10,21.47561141,86909.06361112,1689.1817793305
