OBJECTID,EO_ID,VT_LISTED,US_TE,US_TE_DESC,LAST_OBS,COMM_TYPE,TYPE_CODE,TYPE_DESC,VIEW_NAME,LAYER_DATE,GlobalID,SHAPESTArea,SHAPESTLength
299717,586,N, , ,1998-07-06, ,P,Plant,VT_RARE_VW,2021/06/17,{003F9672-5B3E-4FB8-8774-8ADE89B9928F},12901.47525,1490.41992781196
299720,355,Y, , ,1990-09-06, ,P,Plant,VT_RARE_VW,2021/06/17,{0156BF58-F226-49B3-B626-773C8A3C1C44},31213.3931,627.299079754436
299721,30,N, , ,1972, ,A,Animal,VT_RARE_VW,2021/06/17,{01C24993-8E53-40B4-BE3D-1F28C9AD78C7},2705.4031,328.855442503662
299722,1580,N, , ,1985-08-08, ,P,Plant,VT_RARE_VW,2021/06/17,{037E2006-BB2E-45EF-B0AB-FEBFE79905E4},31213.01045,627.295234432218
299723,605,N, , ,1982-07-04, ,P,Plant,VT_RARE_VW,2021/06/17,{0395710D-9CCA-4A75-915D-D6F03A7637B0},499430.1133,2509.23600310726
299724,1202,N, , ,1992-07-02, ,A,Animal,VT_RARE_VW,2021/06/17,{0397768E-3728-48A1-965F-ADA61DF57F5C},62428.4985,1254.61536431301
299725,1466,N, , ,1994-06-14, ,A,Animal,VT_RARE_VW,2021/06/17,{03B1F4BA-0393-4EA3-9023-3571C7F0E2A3},31215.1368,627.316591269565
299728,226,Y, , ,197-, ,P,Plant,VT_RARE_VW,2021/06/17,{050C36AC-3E48-4AF1-A0DA-70FD5A856EB7},499429.5385,2509.2345615879
299729,1619,Y, , ,1989-09-07, ,P,Plant,VT_RARE_VW,2021/06/17,{052D62C3-76CC-4614-816D-806EEED91A78},31214.2443,627.307623938645
299731,1840,Y, , ,2000-09-05, ,P,Plant,VT_RARE_VW,2021/06/17,{05A1EB81-8674-466E-AA9D-889B6A70F0C4},31214.4441,627.309628725845
299732,2215,N, , ,1979-08-09, ,P,Plant,VT_RARE_VW,2021/06/17,{05D23A51-6930-4D8E-90A5-200F5662D40F},499429.7326,2509.23505121551
299733,425,N, , ,1996-08-29, ,P,Plant,VT_RARE_VW,2021/06/17,{0615985A-149E-4FE9-A192-4F087B0BD14B},31215.678,627.322028736728
299734,245,N, , ,1997-08-19, ,P,Plant,VT_RARE_VW,2021/06/17,{0666336B-40D2-4CF1-BE4C-98B8EFD8E47C},17557.9292,470.47960759632
299735,66,N, , ,1897-07-03, ,P,Plant,VT_RARE_VW,2021/06/17,{06FF36DB-801E-43BA-A36F-153906E0CEB8},31213.5424,627.300580341803
299736,1328,N, , ,1990-07-11, ,P,Plant,VT_RARE_VW,2021/06/17,{0733A183-62E9-46B6-BABF-D669E62E604F},31213.9029,627.304201264455
299737,1099,N, , ,2006, ,P,Plant,VT_RARE_VW,2021/06/17,{073A83A9-22A5-43F3-954E-0E76FF18CA6F},16712.14915,1083.60171476848
299738,1228,N, , ,1992-09-28, ,P,Plant,VT_RARE_VW,2021/06/17,{07C1AB72-B8BE-434E-99CA-585ADAC2E81F},31215.678,627.322028736728
299740,788,Y, , ,1977-06-16, ,A,Animal,VT_RARE_VW,2021/06/17,{0863CA2A-56D4-4FE2-B36B-ED4CDEB8EEB4},31213.7031,627.302191474369
299741,10751,N, , ,1989-09-14, ,P,Plant,VT_RARE_VW,2021/06/17,{08BCF2C5-C927-4A12-9555-E3390830D4A3},100696.82015,2674.21481914682
299742,608,N, , ,1990-08-20, ,P,Plant,VT_RARE_VW,2021/06/17,{08D380F7-F497-45AA-9424-9A0518E724AC},499431.3396,2509.23908429728
299743,32568,N, , ,2009, ,P,Plant,VT_RARE_VW,2021/06/17,{08F0D1D5-8812-4346-AA1B-963F16C0C3AE},1248.6684,125.466511650139
299745,3,Y, , ,2002-07-16, ,P,Plant,VT_RARE_VW,2021/06/17,{09B28C65-A602-4E28-8FC9-2D9613B6523F},31213.627,627.301426271767
299748,2989,Y, , ,2009-07-23, ,P,Plant,VT_RARE_VW,2021/06/17,{0AEA3C6B-5B29-4F1D-BBAD-EAD6E9F12A52},7597.0448,395.345443523445
299749,7021,N, , ,2018-05-16, ,A,Animal,VT_RARE_VW,2021/06/17,{0B1E5D2A-6F22-462B-B40F-4ADEA88AA68B},631485.82525,3777.84108813289
299750,1515,N, , ,1991-06-19, ,P,Plant,VT_RARE_VW,2021/06/17,{0BB239F6-F07A-42B2-8BA8-CD4CCC5817DC},31214.4441,627.309628725845
299751,10546,N, , ,1958-09-28, ,P,Plant,VT_RARE_VW,2021/06/17,{0C321018-A91E-4E84-BE08-8736EE40EAE0},41655.1292,4655.70421327796
299752,10740,N, , ,2007-09-13, ,P,Plant,VT_RARE_VW,2021/06/17,{0C72C8E3-9D36-4BE9-BFDC-A0D82316BD1E},1951.2764,156.842431684415
299753,683,Y, , ,1997-05-14, ,A,Animal,VT_RARE_VW,2021/06/17,{0CD96DBE-6381-4C0C-879C-E3CDCECA6506},31215.1368,627.316591269565
299754,993,Y, , ,2019, ,A,Animal,VT_RARE_VW,2021/06/17,{0CF36C20-BD35-4105-BBBC-7E646D066F22},1632.10205,177.683475866778
299755,813,Y, , ,2018-08-12, ,P,Plant,VT_RARE_VW,2021/06/17,{0CFD350D-2D89-4B77-B7C8-62CACFD730BF},11627.7985,819.726824223297
299756,1631,Y, , ,2015-07-27, ,A,Animal,VT_RARE_VW,2021/06/17,{0D126DB3-9E69-48C6-A222-A45A516FDD2F},7803.46435,313.651884575424
299757,7020,N, , ,2003, ,A,Animal,VT_RARE_VW,2021/06/17,{0D8F1E10-7EA3-4D64-8FA0-3719A71AD04B},156071.5039,3136.54096577096
299758,339,N, , ,1985-09-25, ,P,Plant,VT_RARE_VW,2021/06/17,{0D93707A-9E27-44E6-B761-062A3F2CBE84},31213.01045,627.295234432218
299760,1741,N, , ,1991-06-20, ,P,Plant,VT_RARE_VW,2021/06/17,{0EF5F6D9-BD77-4AAF-A1D6-F8C78E919E92},31215.678,627.322028736728
299761,997,Y, , ,1990-06-14, ,A,Animal,VT_RARE_VW,2021/06/17,{0F3360C5-112E-4A07-B888-A41A8C173EBC},31215.678,627.322028736728
299762,1348,Y, , ,1998-05-25, ,A,Animal,VT_RARE_VW,2021/06/17,{0F444B8E-89DE-4A3F-A0FD-B1C9B5EFF27B},93643.1593,1881.92716790538
299763,1919,Y, , ,1998, ,A,Animal,VT_RARE_VW,2021/06/17,{0F845696-0AFC-4D26-AF1B-98191BAF309D},2603908.4677,63524.3284833177
299764,7521,N, , ,2006-10-03-PRE, ,A,Animal,VT_RARE_VW,2021/06/17,{0FC234CB-13A4-4F37-8207-353BCA0A5A7B},1951.2764,156.842431684415
299765,222,Y, , ,1990-06-14, ,A,Animal,VT_RARE_VW,2021/06/17,{0FD7C9F4-49B3-4A7A-B19C-111030E31397},31213.2102,627.297249723873
299766,32908,Y, , ,2007, ,A,Animal,VT_RARE_VW,2021/06/17,{10420428-20A7-4531-A5B4-A33383192ED6},62431.356,1254.64405747346
299769,7517,N, , ,2003-07-05, ,P,Plant,VT_RARE_VW,2021/06/17,{1170C256-7CB6-42A0-B1A7-18F532E2FBFD},7803.61975,313.655011788698
299770,706,N, , ,2002-08-15, ,A,Animal,VT_RARE_VW,2021/06/17,{11925E82-F43D-40B4-A148-9C692112ABFF},280930.282,1881.92983024026
299771,2110,Y, , ,1983-07-06, ,P,Plant,VT_RARE_VW,2021/06/17,{11C9581C-C429-40AF-AF85-610F48671F28},814.9009,141.995596749146
299772,1311,Y, , ,1877-06-02, ,P,Plant,VT_RARE_VW,2021/06/17,{11F1253C-D3B2-4B92-8860-120DD7FEC0A1},499429.5385,2509.2345615879
